"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12"
"1",0.0114,-0.0019,0.002,0.0026,0.0021,0.0016,-0.0024,-5e-04,-5e-04,-7e-04,-1e-04,-0.0013
"2",-0.0019,0.0228,-0.0012,0.0042,0.0039,3e-04,-0.0028,0.0018,8e-04,-0.0011,3e-04,0.0019
"3",0.002,-0.0012,0.0402,-0.0205,0.0019,-0.0019,0.002,0,4e-04,3e-04,-0.001,-2e-04
"4",0.0026,0.0042,-0.0205,0.0269,0,9e-04,-0.0033,1e-04,1e-04,-7e-04,5e-04,0.0021
"5",0.0021,0.0039,0.0019,0,0.0097,-0.003,-8e-04,6e-04,0.001,-4e-04,-2e-04,0
"6",0.0016,3e-04,-0.0019,9e-04,-0.003,0.0115,-7e-04,8e-04,-1e-04,2e-04,5e-04,-0.0015
"7",-0.0024,-0.0028,0.002,-0.0033,-8e-04,-7e-04,0.007,-0.0025,5e-04,-1e-04,4e-04,4e-04
"8",-5e-04,0.0018,0,1e-04,6e-04,8e-04,-0.0025,0.0063,1e-04,7e-04,-1e-04,-1e-04
"9",-5e-04,8e-04,4e-04,1e-04,0.001,-1e-04,5e-04,1e-04,0.0049,-1e-04,-0.0015,4e-04
"10",-7e-04,-0.0011,3e-04,-7e-04,-4e-04,2e-04,-1e-04,7e-04,-1e-04,0.0111,-3e-04,-1e-04
"11",-1e-04,3e-04,-0.001,5e-04,-2e-04,5e-04,4e-04,-1e-04,-0.0015,-3e-04,0.0055,1e-04
"12",-0.0013,0.0019,-2e-04,0.0021,0,-0.0015,4e-04,-1e-04,4e-04,-1e-04,1e-04,0.0195
